-- diagnose_rounds_won.lua -- inicio frame 0 --
[CAMBIO F7502] GSTATE+0x01 (0xFF8901): 14 -> 12
[CAMBIO F7504] GSTATE+0x01 (0xFF8901): 12 -> 10
[CAMBIO F7506] GSTATE+0x01 (0xFF8901): 10 -> 8
[CAMBIO F7508] GSTATE+0x01 (0xFF8901): 8 -> 6
[CAMBIO F7510] GSTATE+0x01 (0xFF8901): 6 -> 4
[CAMBIO F7510] P2_CROUCH_ref (0xFF86C4): 2 -> 1
[CAMBIO F7512] GSTATE+0x01 (0xFF8901): 4 -> 2
[CAMBIO F7514] GSTATE+0x01 (0xFF8901): 2 -> 0
[CAMBIO F7626] P2_CROUCH_ref (0xFF86C4): 1 -> 2
[CAMBIO F7636] P2_base+0xEB+2 (0xFF86EB): 32 -> 11
[CAMBIO F7636] GLOBAL+0x21 (0xFF8021): 180 -> 184
[CAMBIO F7668] P2_CROUCH_ref (0xFF86C4): 2 -> 1
[CAMBIO F7712] P2_base+0xEB+2 (0xFF86EB): 11 -> 1
[CAMBIO F7712] GLOBAL+0x21 (0xFF8021): 184 -> 188
[CAMBIO F7738] GSTATE+0x00 (0xFF8900): 0 -> 30
[CAMBIO F7740] GSTATE+0x00 (0xFF8900): 30 -> 28
[CAMBIO F7742] GSTATE+0x00 (0xFF8900): 28 -> 26
[CAMBIO F7744] GSTATE+0x00 (0xFF8900): 26 -> 24
[CAMBIO F7746] GSTATE+0x00 (0xFF8900): 24 -> 22
[CAMBIO F7748] GSTATE+0x00 (0xFF8900): 22 -> 20
